tt1971533,Starvation Heights,NA,NA,Thriller,NA,Gregg Olsen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1971550,The Immortals (2011),2011,NA,Documentary,NA,Marc Bielli,John Kapelos,Michael P. Greco,Vincent J. Francillon," 9,322
"," 283,436
"," 241,605
",21,NA,NA,NA,6,193,NA,532
tt1971557,The Secret in the Satchel (2007),2007,51,NA,NA,Tay-jou Lin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1971558,The Sleeper (2012),2012,90,Horror,"
$30K
(estimated)
",Justin Russell,Brittany Belland,Ray Goodwin,Jason Jay Crabtree," 79,837
"," 375,309
"," 1,007,892
",210,11,1,NA,4,"1,041",2,NA
tt1971568,Untitled Tag Mendillo Project,NA,NA,Action,NA,Tag Mendillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1971570,Urban Struggle,NA,NA,Music,"
$5MM
(estimated)
",York Alec Shackleton,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
tt1971571,Fraktus - Das letzte Kapitel der Musikgeschichte (2012),2012,95,Comedy,NA,Lars Jessen,Devid Striesow,Heinz Strunk,Rocko Schamoni," 40,778
"," 187,418
"," 231,735
",92,NA,NA,NA,7.1,"1,091",1,NA
tt1971576,Wir waren das Miljoe (2011),2011,88,Documentary,"
��50K
(estimated)
",Peter F. M?ller,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,14,NA,NA
tt1971582,Zhui hun san (1993),1993,91,Thriller,NA,Tsiang-Pang Mao,Chieh-shun Chang,Lung Hei,Yan Hsiao," 3,965,348
"," 1,987,333
"," 526,657
",1,NA,NA,NA,NA,NA,NA,NA
tt1972354,Fields of Valor: The Civil War (2011),2011,NA,Documentary,NA,David Padrusch,Brian Danner,Kevin Alves,Mike Pfaff," 109,985
"," 1,054,483
"," 44,031
",12,NA,NA,NA,6.5,23,414,NA
tt1972571,A Most Wanted Man (2014),2014,122,Crime,"
$15MM
(estimated)
",Anton Corbijn,Grigoriy Dobrygin,Philip Seymour Hoffman,Homayoun Ershadi," 20,136
"," 1,552
"," 34,749
",13000,22000,"8,309",216,6.8,"62,341","2,689",5
tt1972588,"Armenien, die Fruechte aus dem Paradies (2011)",2011,52,Documentary,NA,Mirella Pappalardo,Alik Bojadyan,Mukutsch Bojadyan,Mkrtich Mkrtyan," 8,046,818
"," 7,681,427
"," 2,584,493
",NA,NA,NA,NA,NA,NA,NA,2
tt1972591,King Arthur: Legend of the Sword (2017),2017,126,Action,"
$175MM
(estimated)
",Guy Ritchie,Charlie Hunnam,Astrid Berg?s-Frisbey,Jude Law," 68
"," 209
"," 664
",24000,16000,"3,775","2,932",7,"96,630","6,130",12
tt1972592,King Arthur: Legend of the Sword (2017),2017,126,Action,"
$175MM
(estimated)
",Guy Ritchie,Charlie Hunnam,Astrid Berg?s-Frisbey,Jude Law," 68
"," 209
"," 664
",24000,16000,"3,775","2,932",7,"96,630","6,130",12
tt1972593,As They Fall (2008),2008,90,Horror,"
$100K
(estimated)
",Janelle Morrissey,Darin Hollis,Kristi Lynn,Michael J. Valletta," 5,586,214
"," 230,591
"," 6,554,960
",NA,NA,NA,1,NA,NA,NA,NA
tt1972600,Bastardi II (2011),2011,NA,Crime,NA,Jan Lengyel,Tom?s Magnusek,Jan Stastn?,Martin Dejdar," 777,324
"," 2,343,400
"," 173,494
",2,NA,NA,NA,3.5,67,1,NA
tt1972602,Believe: The Misfit Pawn (2011),2011,90,Drama,"
$100K
(estimated)
",Joel Bunkowske,Danny Ahlfeld,Sonja Hill,Georgiana Jianu," 2,384,001
"," 3,618,363
"," 4,225,869
",11,NA,NA,5,9.3,6,106,5
tt1972607,Black (IV) (2008),2008,126,Drama,"
$15K
(estimated)
",J. Starr Welty,Klyia Gibbs,Lydia Salazar,Billy Garberina," 6,517,592
"," 7,719,074
"," 703,873
",15,NA,NA,NA,NA,NA,3,NA
tt1972608,Blood Brothers,NA,NA,Thriller,NA,Sergei Bodrov,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
tt1972627,Communication (I) (2011),2011,5 m,Documentary,NA,Sara Martin,Jenny Martin,Joseph Martin,NA," 1,118,197
"," 1,540,748
",NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1972630,Cream (I) (2011),2011,117,Drama,NA,Atsushi Fujii,Tomoyuki Hatakeyama,Chika Kumada,Shin'nosuke Ury?," 7,529,586
"," 6,984,230
"," 7,725,469
",2,NA,NA,NA,NA,NA,NA,NA
tt1972636,Death Run (1987),1987,70,Action,"
?20K
(estimated)
",Michael J. Murphy,Rob Bartlett,Wendy Parsons,Debbi Stevens," 696,575
"," 797,643
"," 737,872
",14,NA,NA,3,4.5,92,NA,3
tt1972642,Dias de Chuva,NA,NA,Drama,NA,Jorge Ant?nio,Oceana Bas?lio,Jos? Eduardo,Jo?o Cabral," 84,388
"," 239,798
"," 325,880
",NA,NA,NA,"4,035",NA,NA,NA,NA
tt1972643,Dichotomy (2010),2010,90,Drama,"
$90K
(estimated)
",Jay Purcell,Isaac Bekker,Marya Sea Kaminski,Agnes Muljadi," 1,374,683
"," 5,135,992
"," 1,395,051
",NA,NA,NA,NA,NA,NA,NA,NA
tt1972645,Don't Tread on Me (2010),2010,94,Documentary,NA,William Lewis,Michael Badnarik,Alex Jones,Charles Key," 1,727,993
"," 24,272
"," 6,473,796
",5,NA,NA,1,6.2,17,NA,NA
tt1972646,Eames: The Architect & The Painter (2011),2011,85,Documentary,NA,Jason Cohn,Charles Eames,Ray Eames,James Franco," 217,246
"," 401,274
"," 266
",749,8,2,NA,7.2,788,11000,NA
tt1972657,Final Dance (2015),2015,90,Drama,NA,Frank A. Caruso,Srdjan Nikolic,Evgenia Milmana,Tom Bolton," 1,399,610
"," 6,945,558
"," 487,941
",NA,NA,NA,6,7.6,8,NA,6
tt1972663,Into the Abyss (2011),2011,107,Documentary,NA,Werner Herzog,Werner Herzog,Richard Lopez,Michael Perry," 2,772
"," 539,369
"," 171,689
","4,557",NA,NA,"2,090",7.3,"13,689",NA,NA
tt1972666,Girlstories (2011),2011,93,Documentary,NA,Joey Huertas,Jewel Elizabeth,Laura Killeen,Patricia Ordonez," 1,438,641
"," 5,935,111
"," 3,273,516
",NA,NA,NA,NA,NA,NA,NA,NA
tt1972678,Hustle (2011),2011,64,Documentary,NA,Clinton Engles,Susan Dale,Clinton Engles,Helen Evans," 4,702,285
"," 4,698,312
"," 184,369
",NA,NA,NA,NA,NA,NA,NA,NA
tt1972682,Inside the Perfect Circle: The Odyssey of Joel Thome (2011),2011,61,Documentary,NA,Chris Pepino,Joel Thome,NA,NA," 6,921,243
",NA,NA,4,NA,NA,NA,NA,NA,NA,NA
tt1972688,The Bear (2012),2012,100,Drama,NA,Khosro Masumi,Parviz Parastui,Merila Zare'i,Farhad Aslani," 89,527
"," 80,490
"," 200,349
",1,66,20,35,7.1,25,9,35
tt1972694,Laurentia (2011),2011,120,Drama,NA,Mathieu Denis,Emmanuel Schwartz,Julie Royer,?rika," 113,650
"," 666,507
"," 1,672,275
",2,NA,NA,NA,6,111,NA,NA
tt1972698,Lives for Sale (2007),2007,58,Documentary,"
$350K
(estimated)
",Gayla Jamison,Marabina Jaimes,NA,NA," 80,698
",NA,NA,NA,36,NA,NA,NA,NA,NA,NA
tt1972704,MLK Jr. Way (2011),2011,84,Comedy,NA,Erik Stinson,Albert Luera,Gabe Santos,NA," 7,986,758
"," 7,483,910
",NA,NA,NA,8,NA,NA,NA,NA,NA
